идентификатор ZINC	название	SMILES формула	мол. вес, г/моль	LogP	брутто-формула	число колец	число тяжелых атомов	число гетероатомов	pH	заряд	число доноров H-связи	число акцепторов H-связи	площадь полярной поверхности, кв. А	число вращающихся связей
ZINC000000896945	10,11-Dihydroxycarbamazepine	NC(=O)N1c2ccccc2[C@H](O)[C@@H](O)c2ccccc21	270.288	1.984	C15H14N2O3	3	20	5	Reference	0	3	3	86	0
ZINC000005967015	10-Alpha-Methoxy-9,10-Dihydrolysergol	CO[C@@]12C[C@@H](CO)CN(C)[C@@H]1Cc1c[nH]c3cccc2c13	286.375	1.878	C17H22N2O2	4	21	4						
ZINC000005967031	10-Alpha-Methoxy-9,10-Dihydrolysergol	CO[C@]12C[C@@H](CO)CN(C)[C@@H]1Cc1c[nH]c3cccc2c13	286.375	1.878	C17H22N2O2	4	21	4	Reference	1	3	2	49	2
ZINC000002008394	11-Hydroxy-Delta-9-Thc	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(CO)=C[C@@H]21	330.468	4.708	C21H30O3	3	24	3	Reference	0	2	3	49	5
ZINC000002008393	11-Hydroxy-Delta-9-Thc	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(CO)=C[C@H]21	330.468	4.708	C21H30O3	3	24	3	Reference	0	2	3	49	5
ZINC000002008392	11-Hydroxy-Delta-9-Thc	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(CO)=C[C@@H]21	330.468	4.708	C21H30O3	3	24	3	Reference	0	2	3	49	5
ZINC000002008391	11-Hydroxy-Delta-9-Thc	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(CO)=C[C@H]21	330.468	4.708	C21H30O3	3	24	3	Reference	0	2	3	49	5
ZINC000100053871	12-Hydroxynevirapine	Cc1ccnc2c1N=C(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccnc1N2[C@@H]1C[C@@H]1O	458.427	-0.643	C21H22N4O8	5	33	12						
ZINC000100053876	12-Hydroxynevirapine	Cc1ccnc2c1N=C(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccnc1N2[C@H]1C[C@@H]1O	458.427	-0.643	C21H22N4O8	5	33	12						
ZINC000095618604	12-Hydroxynevirapine	Cc1ccnc2c1N=C(O[C@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccnc1N2[C@@H]1C[C@@H]1O	458.427	-0.643	C21H22N4O8	5	33	12						
ZINC000095618605	12-Hydroxynevirapine	Cc1ccnc2c1N=C(O[C@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccnc1N2[C@H]1C[C@@H]1O	458.427	-0.643	C21H22N4O8	5	33	12						
ZINC000005933760	12-Hydroxynevirapine	O=C1Nc2c(CO)ccnc2N(C2CC2)c2ncccc21	282.303	1.835	C15H14N4O2	4	21	6	Reference	0	2	5	78	2
ZINC000002565787	1&#39;-Hydroxytriazolam	OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	359.216	3.417	C17H12Cl2N4O	4	24	7	Reference	0	1	5	63	2
ZINC000013282550	1&#39;-Oxide	C[N+]1([O-])CCC[C@@H]1c1cccnc1	178.235	1.861	C10H14N2O	2	13	3	Reference	0	0	2	35	1
ZINC000005419310	1&#39;-Oxide	C[N+]1([O-])CCC[C@H]1c1cccnc1	178.235	1.861	C10H14N2O	2	13	3	Reference	0	0	2	35	1
ZINC000031475642	15beta-Hydroxycyproterone	CC(=O)O[C@]1(C(C)=O)C[C@@H](O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C	432.944	3.578	C24H29ClO5	5	30	6						
ZINC000118915222	15beta-Hydroxycyproterone	CC(=O)O[C@]1(C(C)=O)C[C@@H](O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C	432.944	3.578	C24H29ClO5	5	30	6						
ZINC000031544156	15beta-Hydroxycyproterone	CC(=O)O[C@]1(C(C)=O)C[C@H](O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C	432.944	3.578	C24H29ClO5	5	30	6						
ZINC000118915223	15beta-Hydroxycyproterone	CC(=O)O[C@]1(C(C)=O)C[C@H](O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C	432.944	3.578	C24H29ClO5	5	30	6						
ZINC000008551674	17a-Estradiol	C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@H]2O	448.512	1.175	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000013515304	17-Alpha-Estradiol-3-Glucuronide	C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O	448.512	1.175	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000013515303	17-Alpha-Estradiol-3-Glucuronide	C[C@]12CC[C@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O	448.512	1.175	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000013515302	17-Alpha-Estradiol-3-Glucuronide	C[C@]12CC[C@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	448.512	1.175	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000230123380	17-Alpha-Ethinyl	C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2						
ZINC000002572372	17-Alpha-Ethinyl	C#C[C@@]1(O)CC[C@@H]2[C@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2						
ZINC000095618854	17-Alpha-Ethinyl	C#C[C@@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2						
ZINC000083294653	17-Alpha-Ethinyl	C#C[C@@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2						
ZINC000003830792	17-Alpha-Ethinyl	C#C[C@@]1(O)CC[C@H]2[C@H]3CCc4cc(O)ccc4[C@@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2	Reference	0	2	2	40	0
ZINC000003830790	17-Alpha-Ethinyl	C#C[C@@]1(O)CC[C@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C	296.41	3.613	C20H24O2	4	22	2	Reference	0	2	2	40	0
